geo,TIME_PERIOD,OBS_VALUE
Hungary,2014,
Hungary,2015,1.24
Hungary,2016,0.48
Hungary,2017,0.43
Hungary,2018,0.2
Hungary,2019,0.45
Hungary,2020,0.57
Hungary,2021,0.37
Hungary,2022,0.71
Hungary,2023,0.52
Ireland,2008,
Ireland,2009,
Ireland,2010,
Ireland,2011,
Ireland,2012,
Ireland,2013,
Ireland,2014,
Ireland,2015,
Ireland,2016,
Ireland,2017,
Ireland,2018,
Ireland,2019,
Ireland,2020,
Ireland,2021,
Ireland,2022,0.35
Ireland,2023,0.3
Iceland,2008,
Iceland,2009,
Iceland,2010,
Iceland,2011,
Iceland,2012,
Iceland,2013,
Iceland,2014,
Iceland,2015,0.0
Iceland,2016,0.61
Iceland,2017,0.0
Iceland,2018,0.29
Iceland,2019,0.0
Iceland,2020,1.13
Iceland,2021,0.0
Iceland,2022,0.0
Iceland,2023,0.53
Italy,2008,
Italy,2009,
Italy,2010,
Italy,2011,
Italy,2012,
Italy,2013,
Italy,2014,
Italy,2015,0.35
Italy,2016,0.36
Italy,2017,0.24
Italy,2018,0.27
Italy,2019,0.26
Italy,2020,0.32
Italy,2021,0.34
Italy,2022,0.34
Italy,2023,0.32
Liechtenstein,2008,
Liechtenstein,2009,
Liechtenstein,2010,
Liechtenstein,2011,
Liechtenstein,2012,
Liechtenstein,2013,
Liechtenstein,2014,
Liechtenstein,2015,0.0
Liechtenstein,2016,0.0
Liechtenstein,2017,
Liechtenstein,2018,
Liechtenstein,2019,
Liechtenstein,2020,5.12
Liechtenstein,2021,5.08
Liechtenstein,2022,
Liechtenstein,2023,
Lithuania,2008,
Lithuania,2009,
Lithuania,2010,
Lithuania,2011,
Lithuania,2012,
Lithuania,2013,
Lithuania,2014,
Lithuania,2015,0.89
Lithuania,2016,0.96
Lithuania,2017,0.65
Lithuania,2018,0.4
Lithuania,2019,0.73
Lithuania,2020,0.87
Lithuania,2021,1.08
Lithuania,2022,1.2
Lithuania,2023,1.12
Latvia,2008,
Latvia,2009,
Latvia,2010,
Latvia,2011,
Latvia,2012,
Latvia,2013,
Latvia,2014,
Latvia,2015,0.84
Latvia,2016,1.5
Latvia,2017,1.59
Latvia,2018,1.45
Latvia,2019,1.51
Latvia,2020,2.14
Latvia,2021,1.87
Latvia,2022,2.19
Latvia,2023,1.88
Montenegro,2008,
Montenegro,2009,
Montenegro,2010,
Montenegro,2011,
Montenegro,2012,
Montenegro,2013,
Montenegro,2014,
Montenegro,2015,0.96
Montenegro,2016,0.96
Montenegro,2017,0.32
Montenegro,2018,1.12
Montenegro,2019,1.61
Montenegro,2020,0.95
Montenegro,2021,0.64
Montenegro,2022,0.64
Montenegro,2023,0.0
North Macedonia,2008,
North Macedonia,2009,
North Macedonia,2010,
North Macedonia,2011,
North Macedonia,2012,
North Macedonia,2013,
North Macedonia,2014,
North Macedonia,2015,0.29
North Macedonia,2016,0.29
North Macedonia,2017,0.19
North Macedonia,2018,
North Macedonia,2019,0.39
North Macedonia,2020,0.48
North Macedonia,2021,0.19
North Macedonia,2022,0.22
North Macedonia,2023,0.87
Malta,2008,
Malta,2009,
Malta,2010,
Malta,2011,
Malta,2012,
Malta,2013,
Malta,2014,
Malta,2015,0.46
Malta,2016,0.89
Malta,2017,0.0
Malta,2018,0.84
Malta,2019,0.41
Malta,2020,0.4
Malta,2021,0.0
Malta,2022,0.8
Malta,2023,0.0
Netherlands,2008,
Netherlands,2009,
Netherlands,2010,
Netherlands,2011,
Netherlands,2012,
Netherlands,2013,
Netherlands,2014,
Netherlands,2015,0.39
Netherlands,2016,0.3
Netherlands,2017,0.22
Netherlands,2018,0.23
Netherlands,2019,0.37
Netherlands,2020,0.45
Netherlands,2021,0.31
Netherlands,2022,0.41
Netherlands,2023,0.27
Romania,2008,
Romania,2009,
Romania,2010,
Romania,2011,
Romania,2012,
Romania,2013,
Romania,2014,
Romania,2015,
Romania,2016,
Romania,2017,0.54
Romania,2018,0.54
Romania,2019,0.54
Romania,2020,0.45
Romania,2021,0.44
Romania,2022,0.47
Romania,2023,0.29
Sweden,2008,
Sweden,2009,
Sweden,2010,
Sweden,2011,
Sweden,2012,
Sweden,2013,
Sweden,2014,
Sweden,2015,
Sweden,2016,
Sweden,2017,0.11
Sweden,2018,0.26
Sweden,2019,0.18
Sweden,2020,
Sweden,2021,
Sweden,2022,
Sweden,2023,
Slovenia,2008,
Slovenia,2009,
Slovenia,2010,
Slovenia,2011,
Slovenia,2012,
Slovenia,2013,
Slovenia,2014,
Slovenia,2015,0.38
Slovenia,2016,0.19
Slovenia,2017,0.44
Slovenia,2018,0.29
Slovenia,2019,0.34
Slovenia,2020,0.57
Slovenia,2021,0.57
Slovenia,2022,0.38
Slovenia,2023,0.28
Slovakia,2008,
Slovakia,2009,
Slovakia,2010,
Slovakia,2011,
Slovakia,2012,
Slovakia,2013,
Slovakia,2014,
Slovakia,2015,0.08
Slovakia,2016,0.18
Slovakia,2017,0.35
Slovakia,2018,0.07
Slovakia,2019,0.14
Slovakia,2020,0.0
Slovakia,2021,0.04
Slovakia,2022,0.07
Slovakia,2023,0.07

